state_code,dist_code,court_no,court_historical_median_resolution,pending_cases_count
1,34,6,717.0,35187
1,34,7,1090.0,9794
1,34,11,383.0,74973
1,34,12,590.0,40254
1,34,13,383.0,48253
1,34,15,412.0,47733
1,34,19,369.0,41768
1,35,8,313.0,73584
1,35,9,347.0,63103
1,35,13,1381.0,6356
1,35,14,332.0,47923
1,36,1,442.0,36311
1,36,4,223.0,181649
1,36,5,225.0,141565
1,36,6,329.0,101850
1,36,9,560.0,46278
1,37,1,180.0,175669
1,37,2,708.0,64913
1,37,3,283.0,378292
1,37,4,556.0,39796
1,38,1,406.0,60441
1,38,2,707.0,65303
1,38,3,611.0,67718
1,40,2,711.0,64387
1,40,4,497.0,63834
1,40,5,261.0,129406
1,40,6,614.0,48469
1,40,8,382.0,64222
1,40,12,406.0,80829
1,40,14,806.0,23773
1,40,17,714.0,26140
1,40,21,1868.5,1806
1,40,22,2248.0,36
1,40,23,675.0,9342
1,40,25,967.0,5558
1,40,27,659.0,9687
1,40,34,515.0,1166
1,40,39,809.0,817
1,40,41,650.0,2722
1,40,43,2597.0,20
1,41,1,175.0,228058
1,41,2,409.0,128750
1,41,3,290.0,372921
1,41,4,223.0,181570
1,41,10,777.0,24889
1,41,12,431.0,77208
1,41,14,529.0,37210
1,41,16,408.0,39255
1,41,17,465.0,48517
1,41,18,485.0,28119
1,42,6,646.0,43341
1,42,11,623.0,33218
1,42,12,690.0,22924
1,42,13,830.0,19843
1,42,14,912.0,18655
1,42,15,726.0,20855
1,42,16,695.0,17653
1,42,17,762.5,23484
1,42,18,791.0,15054
1,42,19,622.0,17253
1,42,20,924.0,11088
1,42,21,1065.0,9961
2,2,1,155.0,248949
2,2,3,291.0,372732
2,2,4,228.0,179517
2,2,5,224.0,141715
2,2,6,328.0,102097
2,2,7,379.0,97785
2,2,8,269.0,79988
2,2,9,343.0,63514
2,2,10,306.0,60220
2,2,11,360.0,78074
2,2,12,418.0,79061
2,2,13,369.0,49529
2,2,14,376.0,45105
2,2,15,404.0,48368
2,2,16,335.0,44938
2,2,17,379.0,56537
2,2,19,363.0,42573
2,2,20,418.0,27717
2,2,21,263.0,29633
2,2,22,177.0,27297
2,2,24,468.0,20320
2,2,25,413.0,13633
2,2,26,482.0,15975
2,2,27,420.0,13907
2,3,1,155.0,248517
2,3,3,290.0,372922
2,3,4,224.0,181468
2,3,5,229.0,140213
2,3,6,333.0,101154
2,3,7,368.0,99448
2,3,8,271.0,79636
2,3,9,344.0,63472
2,3,10,298.0,60893
