act,act_canonical,category
27710,West Bengal Premises Tenancy Act,Civil
28018,declaration,Civil
28271,partition and Possession,Civil
28282,permanent injunction,Civil
28295,possession  \,Civil
29757,under section 28 of Karnataka Civil Courts Act,Civil
32,....U/o VII Rule 1 Of CPC,Commercial
71,1.Code of Civil Procedure,Commercial
766,21 RULE 11 of CPC,Commercial
768,21 RULE 26 R/W SEC.151 OF CPC.,Commercial
770,21 RULE 43 48 AND 54 OF CPC,Commercial
771,21 RULE 46 A R/W SEC 151 OF CPC,Commercial
775,21 Rule 11 CPC,Commercial
793,21 rule of 11 CPC,Commercial
854,26 AND VII R1 OF CPC,Commercial
861,26 R/w Order 7 Rule 1 of CPC,Commercial
862,26 RULE 13 OF CPC,Commercial
863,26 U/O 7 RULE 1 AND 2 R/2 SEC. 151 CPC,Commercial
866,26 of CPC.,Commercial
868,26 r .w order VII Rule 1 of CPC,Commercial
929,2Code of Civil Procedure,Commercial
1076,32 RULE 1 OF CPC,Commercial
1145,33 RULE 1 OF CPC,Commercial
1611,41 RULE 1 OF CPC,Commercial
1639,420 OF CPC,Commercial
1876,7 RULE 1 AND 2 CPC,Commercial
1883,7 Rule 1 R/W Sec. 26 of CPC,Commercial
1887,7 Rule 1 and 3 cpc,Commercial
1889,7 Rule 1 of CPC read with 26 of CPC,Commercial
1890,7 Rule 1 r/w 26 of CPC,Commercial
1893,7 Rule 3 of CPC,Commercial
1895,7 rule 1  cpc,Commercial
1907,7 rule 1 of CPC,Commercial
1990,80 2 Of CPC,Commercial
2036,9 RULE 9 OF CPC,Commercial
2223,9Code of Civil Procedure,Commercial
2237,A.P Court Fees and Suits Valuation Act. 1956. (A.P. Act VII of 1956).,Commercial
2254,"A.P. COURT-FEES AND SUITS VALUATION ACT, 1956",Commercial
2427,APPLICATION U.S 39 RULE 1 AND 2 OF CPC,Commercial
2821,Appeal Under Order 41 Rule 1 of CPC,Commercial
3287,Bank U/o VII Rule 1 and 2 R/w sec. 26 of 151 cpc,Commercial
3288,Bank U/s sec. 26 R/w order 34 Rule 5 and order VII 151 of CPC,Commercial
4027,CIVIL PROCEDURE CODE,Commercial
4042,CIVIL SUIT,Commercial
4074,"CODE OF CIVIL PROCEDURE, 1908 (HB)",Commercial
4118,"CONTRACT ACT, 1872",Commercial
4121,"CONTRACT LABOUR (REGULATION & ABOLITION) ACT,1970",Commercial
4162,CPC - Code of Civil Procedure,Commercial
4168,CPC Act,Commercial
4648,Civil Procedure,Commercial
4649,Civil Procedure Act,Commercial
4652,Civil Procedure Code Act,Commercial
4653,Civil Procedure Code Act 1908,Commercial
4656,Civil Procedure Code of 24,Commercial
4657,Civil Procedure Code(CPC),Commercial
4660,Civil Procedure Court,Commercial
4744,Code of  Civil Procedure code,Commercial
4910,Contract Act,Commercial
4918,Contract Labour (Regulation and Abolition) Act,Commercial
4919,Contract Labour (Regulation and Abolition) Act 1970,Commercial
4936,Contract Labour Regulations Act\,Commercial
4941,ContractLabour(RegulationandAbolition)Act,Commercial
5001,"Court Fees and Suits Valuation Act, 1959 (Kerala)",Commercial
6672,Forward Contracts (Regulation) Act,Commercial
6674,ForwardContracts(Regulation)Act,Commercial
7383,I A No I U S 80 2 of CPC,Commercial
7384,I A No I U o 39 Rule 1 and  2 CPC,Commercial
7588,INJUNCTION SUIT,Commercial
7758,Indian Contract Act,Commercial
7759,Indian Contract Act 1872,Commercial
7992,IndianContractAct,Commercial
8211,Interpleader Suits  \,Commercial
8704,KERALA COURT FEES AND SUITS VALUVATION ACT 1959,Commercial
9496,Legal Representatives' Suits Act,Commercial
9508,LegalRepresentativesSuitsAct,Commercial
10537,Money Suit,Commercial
10808,NEGOTIABLE INSTRUMENTS ACT,Commercial
11089,O 7 RULE 14  3 CPC,Commercial
11091,O. C. Suit,Commercial
11176,ORDER 20 RULE12  2 OF CPC,Commercial
11186,ORDER 21 RULE 11 OF THE CPC,Commercial
11194,ORDER 21 RULE 22/2 R/W. SEC 151 CPC,Commercial
11234,ORDER 26 RULE 1 CPC,Commercial
11236,ORDER 26 RULE 13 OF CPC,Commercial
11238,ORDER 26 RULE 7 OF CPC,Commercial
11240,ORDER 3 RULE 1 AND 2 OF CPC,Commercial
